         15454404 function calls (15454214 primitive calls) in 7.478 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        3    0.000    0.000    0.000    0.000 enum.py:415(__getattr__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
       30    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 spell.py:64(SpellBuff)
        1    0.000    0.000    0.000    0.000 spell_set.py:1(<module>)
       12    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
       50    0.000    0.000    0.000    0.000 inspect.py:2830(<genexpr>)
       11    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
       46    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
       23    0.000    0.000    0.000    0.000 dataclasses.py:281(__set_name__)
        1    0.000    0.000    0.000    0.000 spell_chain.py:40(<listcomp>)
       67    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        7    0.000    0.000    0.000    0.000 codecs.py:319(decode)
       33    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
        9    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
       40    0.000    0.000    0.000    0.000 dataclasses.py:470(_init_param)
       17    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1475(__init__)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
       75    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       10    0.000    0.000    0.000    0.000 dataclasses.py:353(<listcomp>)
       75    0.000    0.000    0.000    0.000 dataclasses.py:391(<genexpr>)
       55    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        5    0.000    0.000    0.000    0.000 inspect.py:1866(_signature_is_builtin)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(spec_from_loader)
       15    0.000    0.000    0.000    0.000 inspect.py:1748(_signature_get_user_defined_method)
       40    0.000    0.000    0.000    0.000 dataclasses.py:597(_is_classvar)
       10    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
      130    0.000    0.000    0.000    0.000 inspect.py:2560(kind)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
        8    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1179(exec_module)
       40    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       40    0.000    0.000    0.000    0.000 dataclasses.py:404(_field_assign)
        5    0.000    0.000    0.000    0.000 dataclasses.py:507(<dictcomp>)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 typing.py:232(_remove_dups_flatten)
        7    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
        5    0.000    0.000    0.000    0.000 typing.py:920(<genexpr>)
        4    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
       32    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
        6    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       63    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       30    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        1    0.000    0.000    0.000    0.000 damage_parameters.py:88(copy)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:167(_path_isabs)
       53    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        3    0.000    0.000    0.000    0.000 typing.py:218(_deduplicate)
       10    0.000    0.000    0.000    0.000 inspect.py:514(_is_wrapper)
        7    0.000    0.000    0.000    0.000 spell.py:297(can_reach_po)
       63    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       10    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       85    0.000    0.000    0.000    0.000 inspect.py:2548(name)
        5    0.000    0.000    0.000    0.000 dataclasses.py:543(<listcomp>)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
       18    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
       40    0.000    0.000    0.000    0.000 dataclasses.py:605(_is_initvar)
        1    0.000    0.000    0.000    0.000 spell.py:175(Spell)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
        9    0.000    0.000    0.000    0.000 sre_parse.py:923(fix_flags)
       87    0.000    0.000    0.000    0.000 spell.py:436(get_short_name)
        7    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       19    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       11    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.000    0.000 spell_chain.py:38(<listcomp>)
       39    0.000    0.000    0.000    0.000 typing.py:743(<genexpr>)
       45    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        4    0.000    0.000    0.000    0.000 sre_parse.py:258(getwhile)
        7    0.000    0.000    0.000    0.000 spell.py:278(get_max_uses_single_target)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
        3    0.000    0.000    0.000    0.000 enum.py:81(__init__)
       37    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 inspect.py:1878(_signature_is_functionlike)
        9    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       30    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       15    0.000    0.000    0.000    0.000 inspect.py:159(isfunction)
        5    0.000    0.000    0.000    0.000 dataclasses.py:924(<listcomp>)
        7    0.000    0.000    0.000    0.000 spell.py:410(set_po)
       13    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
        5    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
       30    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
