         6448772 function calls (6448576 primitive calls) in 3.094 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       33    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
       40    0.000    0.000    0.000    0.000 dataclasses.py:597(_is_classvar)
      130    0.000    0.000    0.000    0.000 inspect.py:2560(kind)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
       15    0.000    0.000    0.000    0.000 inspect.py:1748(_signature_get_user_defined_method)
       55    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       44    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(spec_from_loader)
        7    0.000    0.000    0.000    0.000 spell.py:451(check_json_validity)
        7    0.000    0.000    0.000    0.000 spell.py:44(<lambda>)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
       40    0.000    0.000    0.000    0.000 dataclasses.py:404(_field_assign)
        8    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
       10    0.000    0.000    0.000    0.000 dataclasses.py:353(<listcomp>)
        6    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       32    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
        7    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
        4    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
        5    0.000    0.000    0.000    0.000 typing.py:920(<genexpr>)
       30    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
       68    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       11    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:167(_path_isabs)
        3    0.000    0.000    0.000    0.000 enum.py:561(_check_for_existing_members)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
       53    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 damage_parameters.py:85(copy)
       40    0.000    0.000    0.000    0.000 dataclasses.py:605(_is_initvar)
       68    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        9    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       85    0.000    0.000    0.000    0.000 inspect.py:2548(name)
        9    0.000    0.000    0.000    0.000 sre_parse.py:923(fix_flags)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
       87    0.000    0.000    0.000    0.000 spell.py:437(get_short_name)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
        5    0.000    0.000    0.000    0.000 dataclasses.py:543(<listcomp>)
        7    0.000    0.000    0.000    0.000 spell.py:298(can_reach_po)
        1    0.000    0.000    0.000    0.000 spell_chain.py:38(<listcomp>)
        1    0.000    0.000    0.000    0.000 damages.py:1(<module>)
       11    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        7    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1179(exec_module)
        4    0.000    0.000    0.000    0.000 sre_parse.py:258(getwhile)
       37    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        7    0.000    0.000    0.000    0.000 spell.py:279(get_max_uses_single_target)
       45    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        5    0.000    0.000    0.000    0.000 inspect.py:1878(_signature_is_functionlike)
        5    0.000    0.000    0.000    0.000 dataclasses.py:924(<listcomp>)
       20    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        7    0.000    0.000    0.000    0.000 spell.py:411(set_po)
       35    0.000    0.000    0.000    0.000 typing.py:743(<genexpr>)
       15    0.000    0.000    0.000    0.000 typing.py:750(__eq__)
        5    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
        1    0.000    0.000    0.000    0.000 uuid.py:84(UUID)
        7    0.000    0.000    0.000    0.000 spell.py:364(set_crit_chance)
       30    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       13    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
        1    0.000    0.000    0.000    0.000 typing.py:232(_remove_dups_flatten)
       15    0.000    0.000    0.000    0.000 inspect.py:159(isfunction)
        3    0.000    0.000    0.000    0.000 typing.py:218(_deduplicate)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1155(__init__)
       32    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       23    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 decoder.py:284(__init__)
       20    0.000    0.000    0.000    0.000 enum.py:438(<genexpr>)
        3    0.000    0.000    0.000    0.000 enum.py:415(__getattr__)
        1    0.000    0.000    0.000    0.000 stats.py:35(Stats)
       34    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        5    0.000    0.000    0.000    0.000 dataclasses.py:940(<listcomp>)
       23    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
        3    0.000    0.000    0.000    0.000 enum.py:81(__init__)
        5    0.000    0.000    0.000    0.000 functools.py:65(wraps)
        1    0.000    0.000    0.000    0.000 spell_set.py:10(SpellSet)
        7    0.000    0.000    0.000    0.000 spell.py:44(<listcomp>)
       12    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        8    0.000    0.000    0.000    0.000 typing.py:206(_check_generic)
       29    0.000    0.000    0.000    0.000 spell.py:327(get_pa)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1006(__init__)
        3    0.000    0.000    0.000    0.000 enum.py:197(<dictcomp>)
       19    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
       10    0.000    0.000    0.000    0.000 inspect.py:73(isclass)
